"","01","A","B","D","G","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","330","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2400","2495","2815","Cels"
"440",0.509,0.481,0.566,0.58,0.571,0.038,0.156,0.17,0.038,0.057,0.075,0.283,0.157,0.154,0.24,0.189,0.094,0.038,0.038,0.019,0.075,0.135,0.057,0,0.057,0.038,0.019,0.038,0.113,0.094,0.094,0.019,0.019,0.075,0.057,0.094,0.038,0.019,0.189,0.135,0.113,0.019,0.321,0.057,0.038,0,0.094,0.392,0.283,0,0.189,0.113,0.094,0.094,0.491,0.151,0.038,0.17,0,0.094,0.377,0.132,0.094,0.132,0.113,0.113,0.075,0.75
"460",0.528,0.5,0.585,0.58,0.571,0.094,0.178,0.226,0.094,0.075,0.094,0.34,0.176,0.173,0.22,0.17,0.113,0.094,0.094,0.075,0.094,0.192,0.113,0.057,0,0.094,0.038,0.057,0.17,0.075,0.151,0.038,0.075,0.132,0.113,0.113,0.094,0.075,0.17,0.115,0.132,0.075,0.34,0.075,0.057,0.057,0.151,0.392,0.302,0.057,0.245,0.094,0.151,0.038,0.509,0.17,0.096,0.226,0.057,0.113,0.396,0.113,0.075,0.151,0.132,0.17,0.057,0.625
"489",0.547,0.519,0.604,0.6,0.592,0.075,0.2,0.208,0.075,0.094,0.113,0.283,0.196,0.192,0.24,0.226,0.132,0.038,0.038,0.057,0.113,0.173,0.094,0.038,0.094,0,0.057,0.038,0.132,0.132,0.132,0.057,0.019,0.113,0.094,0.132,0.075,0.057,0.208,0.135,0.151,0.019,0.358,0.094,0.075,0.038,0.132,0.431,0.321,0.038,0.208,0.151,0.113,0.132,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.17,0.132,0.132,0.151,0.151,0.113,0.75
"517",0.528,0.5,0.585,0.6,0.592,0.057,0.178,0.189,0.057,0.038,0.057,0.302,0.176,0.173,0.26,0.17,0.113,0.057,0.057,0.038,0.057,0.154,0.075,0.019,0.038,0.057,0,0.019,0.132,0.075,0.113,0,0.038,0.094,0.075,0.113,0.057,0.038,0.17,0.115,0.094,0.038,0.34,0.038,0.019,0.019,0.113,0.392,0.302,0.019,0.208,0.094,0.113,0.075,0.509,0.17,0.058,0.189,0.019,0.113,0.396,0.113,0.075,0.151,0.094,0.132,0.057,0.75
"547",0.547,0.519,0.604,0.62,0.612,0.075,0.2,0.208,0.075,0.057,0.075,0.283,0.196,0.192,0.24,0.189,0.132,0.038,0.038,0.057,0.075,0.173,0.094,0.038,0.057,0.038,0.019,0,0.151,0.094,0.132,0.019,0.019,0.113,0.094,0.132,0.075,0.057,0.189,0.135,0.113,0.057,0.358,0.057,0.038,0.038,0.132,0.412,0.321,0.038,0.208,0.113,0.132,0.094,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.132,0.094,0.132,0.113,0.151,0.075,0.75
"614",0.547,0.519,0.604,0.58,0.571,0.113,0.178,0.208,0.151,0.17,0.151,0.377,0.216,0.25,0.32,0.283,0.17,0.151,0.151,0.132,0.17,0.231,0.17,0.113,0.17,0.132,0.132,0.151,0,0.17,0.17,0.132,0.132,0.17,0.094,0.151,0.113,0.132,0.226,0.135,0.189,0.113,0.415,0.132,0.113,0.113,0.17,0.451,0.377,0.113,0.245,0.226,0.151,0.17,0.528,0.226,0.135,0.264,0.113,0.189,0.415,0.208,0.208,0.208,0.226,0.189,0.151,0.75
"618",0.566,0.538,0.623,0.6,0.612,0.113,0.2,0.264,0.094,0.113,0.132,0.358,0.235,0.212,0.3,0.208,0.113,0.132,0.132,0.113,0.113,0.231,0.151,0.094,0.075,0.132,0.075,0.094,0.17,0,0.151,0.075,0.113,0.151,0.151,0.189,0.132,0.113,0.208,0.115,0.17,0.113,0.377,0.113,0.094,0.094,0.189,0.431,0.34,0.094,0.245,0.132,0.189,0.075,0.528,0.208,0.135,0.264,0.094,0.189,0.377,0.151,0.075,0.189,0.151,0.208,0.057,0.625
"796",0.491,0.5,0.547,0.58,0.592,0.132,0.156,0.189,0.113,0.113,0.151,0.321,0.176,0.25,0.26,0.245,0.17,0.132,0.132,0.113,0.132,0.173,0.094,0.094,0.151,0.132,0.113,0.132,0.17,0.151,0,0.113,0.113,0.151,0.151,0.189,0.132,0.113,0.264,0.192,0.17,0.113,0.358,0.151,0.132,0.094,0.189,0.392,0.321,0.094,0.189,0.189,0.189,0.189,0.491,0.17,0.135,0.208,0.094,0.151,0.396,0.226,0.189,0.17,0.151,0.208,0.132,0.75
"910",0.528,0.5,0.585,0.6,0.592,0.057,0.178,0.189,0.057,0.038,0.057,0.302,0.176,0.173,0.26,0.17,0.113,0.057,0.057,0.038,0.057,0.154,0.075,0.019,0.038,0.057,0,0.019,0.132,0.075,0.113,0,0.038,0.094,0.075,0.113,0.057,0.038,0.17,0.115,0.094,0.038,0.34,0.038,0.019,0.019,0.113,0.392,0.302,0.019,0.208,0.094,0.113,0.075,0.509,0.17,0.058,0.189,0.019,0.113,0.396,0.113,0.075,0.151,0.094,0.132,0.057,0.75
"927",0.528,0.5,0.585,0.6,0.592,0.057,0.178,0.189,0.057,0.075,0.094,0.264,0.176,0.173,0.22,0.208,0.113,0.019,0.019,0.038,0.094,0.154,0.075,0.019,0.075,0.019,0.038,0.019,0.132,0.113,0.113,0.038,0,0.094,0.075,0.113,0.057,0.038,0.208,0.154,0.132,0.038,0.34,0.075,0.057,0.019,0.113,0.412,0.302,0.019,0.189,0.132,0.113,0.113,0.509,0.132,0.058,0.189,0.019,0.113,0.377,0.151,0.113,0.113,0.132,0.132,0.094,0.75
