"","P46","01","A","B","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","RomFragA","RomFragD"
"927",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"945",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"999",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1175",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1241",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1242",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1243",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1245",19,52,51,52,50,30,48,44,52,44,52,52,52,52,52,50,51,49,52,52,52,52,52,52,48,51,43,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,43,52,43,45,52,52,23,43
"1270",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1315",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1319",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1352",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1424",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1448",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1505",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1506",19,51,50,51,48,30,47,43,51,43,51,51,51,51,51,49,50,48,51,51,51,51,51,51,47,50,42,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,51,51,51,51,51,51,51,42,51,42,44,51,51,22,42
"1573",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1611",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1646",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1734",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1735",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1738",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1739",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1827",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1836",19,52,51,52,49,30,48,45,52,44,52,52,52,52,52,50,51,49,52,52,52,52,52,52,47,51,42,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52,52,52,52,52,52,52,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,44,52,42,45,52,52,24,43
"1837",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1854",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1874",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1881",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"1891",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"2125",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"2147",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"2344",13,44,43,44,41,24,41,38,44,37,44,44,44,44,44,42,43,41,44,44,44,44,44,44,40,43,40,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,44,44,44,44,44,44,44,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,36,38,44,44,20,37
"2400",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"2412",16,43,43,43,42,25,40,40,43,35,43,43,43,43,43,41,43,41,43,43,43,43,43,43,43,43,38,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,43,43,43,43,43,43,43,43,42,43,43,43,43,43,43,43,36,43,43,41,43,43,22,36
"2464",15,46,46,46,43,23,42,45,46,38,46,46,46,46,46,44,46,44,46,46,46,46,46,46,41,46,36,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,46,46,46,46,46,46,46,44,46,46,46,46,46,46,46,46,45,46,46,46,46,46,46,46,38,46,41,46,46,46,24,41
"2495",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"2815",19,53,52,53,50,30,49,45,53,45,53,53,53,53,53,51,52,50,53,53,53,53,53,53,48,52,43,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53,52,53,53,53,53,53,53,53,44,53,43,46,53,53,24,44
"RomFragA",9,24,24,24,22,14,23,24,24,20,24,24,24,24,24,22,24,22,24,24,24,24,24,24,22,24,18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,20,24,22,24,24,24,24,23
"RomFragD",13,44,44,44,41,21,40,40,44,37,44,44,44,44,44,42,44,41,44,44,44,44,44,44,39,44,36,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,44,44,44,44,44,44,44,42,44,44,44,44,44,44,44,44,43,44,44,44,44,44,44,44,37,44,36,41,44,44,23,44
