"","P46","01","B","D","F","G","044","075","0150","0243","6","33","81","104","256","263","365","424","424-c","436","459","1175","1241","1573","1739","1852","1881","1912","1962","2127","2200","2464","K","L","P","it-ar","it-b","it-d","it-f","it-g","it-o","vg","syr-h","cop-sa","cop-bo","arm","slav"
"1241",0.706,0.579,0.65,0.525,0.525,0.525,0.25,0.143,0.154,0.538,0.275,0.538,0.475,0.375,0.325,0.205,0.275,0.1,0.889,0.4,0.325,0.564,0,0.275,0.55,0.175,0.375,0.2,0.436,0.3,0.359,0.342,0.154,0.154,0.231,0.55,0.528,0.564,0.475,0.6,0.475,0.514,0.242,0.629,0.568,0.395,0.179
"1573",0.706,0.421,0.5,0.625,0.55,0.5,0.325,0.314,0.256,0.436,0.35,0.41,0.25,0.4,0.05,0.256,0.1,0.35,0.556,0.4,0.35,0.308,0.275,0,0.45,0.35,0.4,0.425,0.308,0.1,0.41,0.342,0.333,0.308,0.205,0.55,0.583,0.667,0.45,0.6,0.55,0.432,0.424,0.429,0.351,0.342,0.231
"1739",0.412,0.395,0.4,0.625,0.525,0.5,0.475,0.6,0.564,0.026,0.425,0.359,0.45,0.45,0.425,0.487,0.475,0.525,0.111,0.475,0.475,0.308,0.55,0.45,0,0.55,0.25,0.525,0.359,0.425,0.385,0.421,0.564,0.564,0.462,0.65,0.583,0.564,0.475,0.525,0.625,0.459,0.455,0.343,0.378,0.474,0.513
"1852",0.676,0.658,0.675,0.55,0.6,0.55,0.275,0.229,0.282,0.538,0.3,0.641,0.5,0.3,0.35,0.179,0.3,0.175,0.889,0.375,0.3,0.564,0.175,0.35,0.55,0,0.4,0.275,0.462,0.375,0.385,0.289,0.205,0.154,0.231,0.55,0.472,0.487,0.475,0.6,0.575,0.514,0.182,0.686,0.568,0.447,0.256
"1881",0.5,0.395,0.45,0.6,0.65,0.6,0.4,0.4,0.41,0.231,0.275,0.333,0.375,0.375,0.35,0.359,0.3,0.375,0.444,0.375,0.4,0.359,0.375,0.4,0.25,0.4,0,0.325,0.282,0.325,0.41,0.289,0.41,0.41,0.333,0.575,0.528,0.538,0.475,0.625,0.575,0.486,0.455,0.429,0.432,0.5,0.385
"1912",0.618,0.658,0.55,0.6,0.65,0.65,0.4,0.229,0.333,0.513,0.325,0.538,0.475,0.3,0.375,0.282,0.325,0.2,0.778,0.275,0.25,0.41,0.2,0.425,0.525,0.275,0.325,0,0.487,0.4,0.41,0.368,0.256,0.205,0.282,0.6,0.611,0.59,0.575,0.675,0.55,0.568,0.394,0.6,0.568,0.5,0.282
"1962",0.515,0.432,0.385,0.513,0.564,0.513,0.385,0.412,0.342,0.342,0.333,0.421,0.308,0.308,0.256,0.316,0.256,0.385,0.444,0.436,0.333,0.316,0.436,0.308,0.359,0.462,0.282,0.487,0,0.256,0.395,0.27,0.368,0.395,0.289,0.564,0.629,0.605,0.487,0.564,0.538,0.5,0.469,0.294,0.278,0.432,0.395
"2127",0.735,0.447,0.5,0.55,0.55,0.5,0.3,0.286,0.282,0.41,0.275,0.41,0.225,0.375,0.05,0.282,0.075,0.325,0.556,0.375,0.325,0.308,0.3,0.1,0.425,0.375,0.325,0.4,0.256,0,0.385,0.316,0.308,0.282,0.179,0.525,0.556,0.59,0.45,0.575,0.525,0.432,0.424,0.4,0.378,0.368,0.308
"2200",0.576,0.676,0.667,0.615,0.641,0.615,0.333,0.294,0.395,0.368,0.282,0.553,0.513,0.41,0.41,0.316,0.359,0.308,0.778,0.359,0.359,0.395,0.359,0.41,0.385,0.385,0.41,0.41,0.395,0.385,0,0.395,0.316,0.368,0.342,0.641,0.629,0.684,0.59,0.667,0.59,0.556,0.281,0.5,0.556,0.351,0.342
"2464",0.688,0.556,0.526,0.553,0.605,0.553,0.316,0.424,0.342,0.405,0.316,0.486,0.289,0.237,0.289,0.189,0.237,0.316,0.556,0.316,0.237,0.405,0.342,0.342,0.421,0.289,0.289,0.368,0.27,0.316,0.395,0,0.297,0.216,0.189,0.632,0.559,0.568,0.5,0.605,0.553,0.528,0.452,0.515,0.429,0.333,0.297
