"","01","A","B","C","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","arm","cop-sa","cop-bo","eth","slav","it-ar","it-mon","it-d","it-g","it-o","it-b","it-f","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"1891",0.606,0.545,0.697,0.375,0.562,0.815,0.774,0.034,0.03,0.188,0.273,0.061,0.061,0.091,0.424,0.107,0.121,0.125,0.182,0.091,0.121,0.121,0.03,0.121,0.194,0.182,0.37,0.091,0.061,0.061,0.091,0.03,0.091,0.107,0.121,0.152,0.03,0.061,0.091,0.091,0.061,0.061,0.091,0.242,0.125,0.212,0.091,0.273,0.062,0.121,0.061,0.121,0.552,0.242,0.061,0.273,0.091,0.121,0.091,0.455,0.212,0.062,0.212,0.061,0.091,0.303,0,0.091,0.121,0.083,0.061,0.032,0.219,0.152,0.091,0.407,0.562,0.562,0.375,0.2,0.697,0.393,0.625,0.613,0.606,0.606,0.615,0.321,0.172,0.333,0.5,0.5,0.357,0.464,0.276
"2125",0.667,0.606,0.758,0.417,0.594,0.778,0.742,0.103,0.061,0.188,0.242,0.091,0.03,0.061,0.424,0.179,0.121,0.094,0.182,0.061,0.091,0.091,0.061,0.091,0.161,0.091,0.333,0.061,0.03,0.03,0.061,0.061,0.061,0.107,0.03,0.121,0.061,0.03,0.121,0.061,0.03,0.03,0.061,0.242,0.094,0.212,0.061,0.242,0.031,0.03,0.091,0.121,0.552,0.212,0.03,0.212,0.061,0.152,0.061,0.455,0.242,0.062,0.182,0.03,0.121,0.242,0.091,0,0.182,0.125,0.091,0.065,0.188,0.152,0.091,0.444,0.562,0.625,0.375,0.167,0.606,0.393,0.656,0.613,0.636,0.576,0.615,0.321,0.172,0.417,0.571,0.571,0.429,0.464,0.241
"2147",0.606,0.606,0.727,0.375,0.562,0.778,0.742,0.103,0.121,0.25,0.364,0.121,0.152,0.152,0.424,0.107,0.212,0.219,0.212,0.182,0.212,0.212,0.121,0.182,0.258,0.242,0.37,0.152,0.152,0.152,0.182,0.121,0.182,0.179,0.212,0.212,0.121,0.152,0.182,0.182,0.152,0.152,0.182,0.303,0.219,0.303,0.182,0.273,0.156,0.182,0.152,0.152,0.517,0.242,0.152,0.364,0.182,0.212,0.182,0.424,0.212,0.156,0.273,0.152,0.182,0.303,0.121,0.182,0,0.125,0.121,0.129,0.312,0.182,0.182,0.444,0.562,0.594,0.375,0.233,0.697,0.429,0.625,0.613,0.636,0.606,0.615,0.321,0.207,0.333,0.5,0.5,0.357,0.464,0.31
"2344",0.542,0.542,0.667,0.471,0.565,0.8,0.739,0.095,0.083,0.25,0.333,0.083,0.125,0.083,0.458,0.1,0.208,0.13,0.25,0.083,0.167,0.167,0.083,0.125,0.227,0.208,0.364,0.083,0.083,0.083,0.125,0.083,0.083,0.19,0.167,0.167,0.083,0.083,0.167,0.167,0.125,0.083,0.125,0.333,0.174,0.333,0.125,0.25,0.087,0.167,0.125,0.083,0.667,0.25,0.083,0.208,0.083,0.208,0.125,0.458,0.25,0.083,0.208,0.083,0.083,0.333,0.083,0.125,0.125,0,0.083,0.091,0.217,0.125,0.125,0.421,0.565,0.609,0.438,0.227,0.708,0.421,0.652,0.609,0.625,0.625,0.684,0.238,0.19,0.333,0.571,0.571,0.381,0.421,0.35
"2400",0.606,0.545,0.697,0.375,0.562,0.815,0.774,0.034,0.03,0.219,0.273,0.03,0.061,0.061,0.424,0.107,0.152,0.125,0.212,0.091,0.121,0.121,0.03,0.061,0.161,0.152,0.333,0.061,0.061,0.061,0.091,0.03,0.091,0.107,0.121,0.121,0.03,0.061,0.091,0.091,0.061,0.061,0.091,0.273,0.125,0.212,0.091,0.242,0.062,0.121,0.061,0.152,0.552,0.212,0.061,0.303,0.091,0.121,0.091,0.455,0.182,0.094,0.182,0.061,0.091,0.303,0.061,0.091,0.121,0.083,0,0.032,0.219,0.182,0.121,0.37,0.562,0.562,0.375,0.167,0.667,0.357,0.625,0.613,0.576,0.576,0.615,0.286,0.138,0.333,0.5,0.5,0.357,0.464,0.241
"2412",0.645,0.581,0.71,0.391,0.548,0.815,0.767,0.037,0,0.2,0.258,0.032,0.032,0.065,0.452,0.111,0.129,0.1,0.194,0.065,0.097,0.097,0,0.097,0.161,0.161,0.333,0.065,0.032,0.032,0.065,0,0.065,0.077,0.097,0.129,0,0.032,0.065,0.065,0.032,0.032,0.065,0.258,0.097,0.194,0.065,0.258,0.033,0.097,0.032,0.129,0.571,0.226,0.032,0.258,0.065,0.097,0.065,0.484,0.194,0.067,0.194,0.032,0.065,0.323,0.032,0.065,0.129,0.091,0.032,0,0.2,0.161,0.097,0.385,0.6,0.6,0.391,0.179,0.677,0.346,0.633,0.621,0.581,0.581,0.615,0.308,0.148,0.364,0.5,0.5,0.385,0.5,0.259
"2464",0.625,0.594,0.75,0.478,0.677,0.769,0.733,0.241,0.188,0.29,0.281,0.219,0.219,0.188,0.469,0.259,0.281,0.226,0.312,0.188,0.188,0.188,0.188,0.219,0.3,0.219,0.385,0.188,0.156,0.156,0.188,0.188,0.188,0.185,0.188,0.312,0.188,0.156,0.25,0.219,0.219,0.156,0.188,0.375,0.194,0.375,0.188,0.344,0.161,0.219,0.188,0.25,0.643,0.344,0.156,0.344,0.188,0.25,0.156,0.5,0.344,0.194,0.312,0.156,0.25,0.375,0.219,0.188,0.312,0.217,0.219,0.2,0,0.25,0.188,0.519,0.581,0.581,0.5,0.241,0.656,0.481,0.742,0.7,0.625,0.625,0.72,0.37,0.25,0.417,0.63,0.63,0.519,0.444,0.286
"2495",0.606,0.606,0.758,0.375,0.562,0.741,0.71,0.138,0.152,0.219,0.333,0.182,0.182,0.152,0.364,0.25,0.242,0.188,0.182,0.152,0.182,0.182,0.152,0.182,0.258,0.242,0.333,0.152,0.121,0.121,0.152,0.152,0.152,0.214,0.152,0.273,0.152,0.121,0.212,0.212,0.182,0.121,0.152,0.303,0.188,0.333,0.152,0.242,0.125,0.182,0.152,0.03,0.517,0.212,0.121,0.333,0.152,0.242,0.121,0.394,0.242,0.125,0.273,0.121,0.212,0.242,0.152,0.152,0.182,0.125,0.182,0.161,0.25,0,0.152,0.407,0.531,0.594,0.458,0.233,0.636,0.429,0.656,0.645,0.606,0.606,0.654,0.357,0.207,0.333,0.5,0.5,0.393,0.393,0.31
"2815",0.606,0.545,0.697,0.458,0.625,0.778,0.742,0.103,0.091,0.188,0.212,0.121,0.121,0.091,0.364,0.143,0.182,0.125,0.182,0.091,0.061,0.061,0.091,0.121,0.194,0.121,0.37,0.091,0.061,0.061,0.091,0.091,0.091,0.107,0.121,0.212,0.091,0.061,0.152,0.152,0.121,0.061,0.091,0.242,0.125,0.273,0.091,0.273,0.062,0.121,0.121,0.121,0.517,0.242,0.061,0.273,0.091,0.152,0.091,0.394,0.212,0.062,0.212,0.061,0.152,0.242,0.091,0.091,0.182,0.125,0.121,0.097,0.188,0.152,0,0.481,0.562,0.562,0.458,0.2,0.636,0.464,0.688,0.677,0.606,0.606,0.692,0.357,0.207,0.417,0.571,0.571,0.429,0.393,0.207
"arm",0.37,0.37,0.444,0.2,0.593,0.957,0.808,0.375,0.37,0.5,0.481,0.37,0.407,0.407,0.333,0.5,0.37,0.423,0.407,0.407,0.444,0.444,0.37,0.407,0.385,0.407,0.391,0.37,0.407,0.407,0.444,0.37,0.444,0.455,0.444,0.37,0.37,0.407,0.407,0.37,0.407,0.407,0.37,0.519,0.444,0.296,0.444,0.37,0.407,0.481,0.37,0.407,0.348,0.407,0.407,0.63,0.407,0.481,0.407,0.556,0.37,0.462,0.37,0.407,0.407,0.444,0.407,0.444,0.444,0.421,0.37,0.385,0.519,0.407,0.481,0,0.37,0.296,0.45,0.296,0.556,0.435,0.615,0.654,0.63,0.556,0.696,0.391,0.333,0.3,0.348,0.348,0.348,0.48,0.346
"cop-sa",0.469,0.344,0.438,0.391,0.613,0.615,0.6,0.536,0.562,0.516,0.469,0.562,0.594,0.531,0.406,0.63,0.531,0.516,0.5,0.562,0.531,0.531,0.562,0.5,0.5,0.531,0.5,0.5,0.531,0.531,0.562,0.562,0.531,0.556,0.562,0.594,0.562,0.531,0.562,0.562,0.594,0.531,0.5,0.625,0.581,0.5,0.562,0.5,0.516,0.562,0.562,0.531,0.464,0.5,0.531,0.625,0.562,0.656,0.531,0.406,0.562,0.548,0.5,0.531,0.594,0.438,0.562,0.562,0.562,0.565,0.562,0.6,0.581,0.531,0.562,0.37,0,0.312,0.348,0.433,0.531,0.571,0.516,0.548,0.688,0.625,0.538,0.536,0.483,0.333,0.393,0.393,0.464,0.429,0.483
"cop-bo",0.25,0.312,0.531,0.261,0.71,0.808,0.767,0.536,0.562,0.548,0.469,0.562,0.594,0.594,0.406,0.593,0.531,0.613,0.5,0.594,0.531,0.531,0.562,0.562,0.5,0.531,0.423,0.562,0.594,0.594,0.625,0.562,0.625,0.63,0.625,0.562,0.562,0.594,0.562,0.562,0.594,0.594,0.562,0.562,0.645,0.438,0.625,0.5,0.581,0.656,0.562,0.594,0.321,0.438,0.594,0.719,0.594,0.562,0.594,0.469,0.5,0.613,0.5,0.594,0.594,0.438,0.562,0.625,0.594,0.609,0.562,0.6,0.581,0.594,0.562,0.296,0.312,0,0.391,0.467,0.531,0.536,0.613,0.613,0.562,0.594,0.577,0.571,0.586,0.25,0.429,0.429,0.429,0.5,0.448
"eth",0.583,0.5,0.625,0.312,0.739,0.842,0.773,0.348,0.375,0.435,0.458,0.375,0.333,0.417,0.625,0.35,0.333,0.478,0.375,0.458,0.458,0.458,0.375,0.417,0.435,0.417,0.5,0.375,0.417,0.417,0.458,0.375,0.458,0.421,0.375,0.375,0.375,0.417,0.417,0.375,0.333,0.417,0.375,0.458,0.478,0.375,0.458,0.5,0.417,0.375,0.375,0.458,0.476,0.458,0.417,0.5,0.458,0.458,0.417,0.542,0.417,0.435,0.458,0.417,0.417,0.417,0.375,0.375,0.375,0.438,0.375,0.391,0.5,0.458,0.458,0.45,0.348,0.391,0,0.364,0.583,0.545,0.565,0.545,0.625,0.542,0.556,0.474,0.45,0.2,0.476,0.476,0.4,0.524,0.455
"slav",0.5,0.567,0.667,0.333,0.483,0.708,0.643,0.192,0.167,0.31,0.3,0.167,0.2,0.133,0.367,0.28,0.233,0.207,0.267,0.133,0.167,0.167,0.167,0.133,0.179,0.167,0.2,0.1,0.133,0.133,0.167,0.167,0.167,0.2,0.2,0.233,0.167,0.133,0.2,0.2,0.2,0.133,0.167,0.333,0.172,0.267,0.167,0.2,0.133,0.2,0.2,0.2,0.5,0.2,0.133,0.333,0.133,0.267,0.167,0.367,0.3,0.172,0.2,0.133,0.2,0.3,0.2,0.167,0.233,0.227,0.167,0.179,0.241,0.233,0.2,0.296,0.433,0.467,0.364,0,0.467,0.308,0.517,0.552,0.5,0.533,0.542,0.308,0.185,0.273,0.385,0.385,0.269,0.37,0.143
"it-ar",0.636,0.697,0.545,0.625,0.562,0.556,0.516,0.655,0.667,0.625,0.545,0.667,0.636,0.636,0.576,0.714,0.606,0.688,0.697,0.636,0.576,0.576,0.667,0.606,0.516,0.545,0.593,0.606,0.636,0.636,0.667,0.667,0.667,0.714,0.606,0.636,0.667,0.636,0.606,0.636,0.636,0.636,0.667,0.606,0.656,0.697,0.667,0.576,0.625,0.606,0.667,0.636,0.655,0.576,0.636,0.758,0.636,0.667,0.636,0.424,0.667,0.656,0.545,0.636,0.667,0.545,0.697,0.606,0.697,0.708,0.667,0.677,0.656,0.636,0.636,0.556,0.531,0.531,0.583,0.467,0,0.357,0.406,0.452,0.273,0.273,0.385,0.536,0.586,0.667,0.179,0.179,0.286,0.393,0.552
"it-mon",0.607,0.571,0.5,0.381,0.333,0.591,0.577,0.32,0.357,0.444,0.5,0.357,0.357,0.393,0.5,0.522,0.429,0.481,0.5,0.393,0.464,0.464,0.357,0.429,0.423,0.393,0.409,0.357,0.393,0.393,0.429,0.357,0.429,0.478,0.393,0.393,0.357,0.393,0.429,0.357,0.357,0.393,0.429,0.464,0.407,0.5,0.429,0.393,0.407,0.429,0.357,0.429,0.667,0.393,0.393,0.571,0.393,0.429,0.393,0.464,0.429,0.407,0.464,0.393,0.393,0.429,0.393,0.393,0.429,0.421,0.357,0.346,0.481,0.429,0.464,0.435,0.571,0.536,0.545,0.308,0.357,0,0.393,0.481,0.393,0.393,0.409,0.5,0.28,0.636,0.24,0.24,0.32,0.48,0.423
"it-d",0.594,0.594,0.594,0.708,0.226,0.462,0.333,0.571,0.625,0.613,0.656,0.625,0.625,0.656,0.625,0.667,0.625,0.71,0.688,0.656,0.656,0.656,0.625,0.625,0.633,0.688,0.577,0.656,0.656,0.656,0.656,0.625,0.656,0.63,0.656,0.625,0.625,0.656,0.625,0.625,0.625,0.656,0.688,0.594,0.677,0.656,0.656,0.531,0.645,0.656,0.625,0.656,0.607,0.594,0.656,0.719,0.656,0.625,0.656,0.5,0.688,0.645,0.625,0.656,0.625,0.625,0.625,0.656,0.625,0.652,0.625,0.633,0.742,0.656,0.688,0.615,0.516,0.613,0.565,0.517,0.406,0.393,0,0.1,0.281,0.312,0.16,0.667,0.571,0.455,0.296,0.296,0.333,0.556,0.643
"it-g",0.548,0.581,0.613,0.696,0.333,0.462,0.333,0.593,0.613,0.613,0.613,0.613,0.581,0.645,0.645,0.615,0.581,0.7,0.677,0.645,0.645,0.645,0.613,0.613,0.621,0.645,0.56,0.645,0.645,0.645,0.645,0.613,0.645,0.615,0.613,0.581,0.613,0.645,0.613,0.581,0.581,0.645,0.677,0.581,0.667,0.677,0.645,0.516,0.633,0.613,0.613,0.645,0.63,0.581,0.645,0.677,0.645,0.613,0.645,0.452,0.677,0.633,0.613,0.645,0.613,0.581,0.613,0.613,0.613,0.609,0.613,0.621,0.7,0.645,0.677,0.654,0.548,0.613,0.545,0.552,0.452,0.481,0.1,0,0.29,0.355,0.038,0.593,0.571,0.455,0.393,0.393,0.429,0.519,0.679
"it-o",0.606,0.636,0.697,0.708,0.438,0.481,0.419,0.552,0.576,0.625,0.515,0.576,0.606,0.606,0.667,0.607,0.636,0.656,0.667,0.606,0.545,0.545,0.576,0.576,0.581,0.606,0.593,0.606,0.606,0.606,0.606,0.576,0.636,0.607,0.636,0.606,0.576,0.606,0.515,0.606,0.606,0.606,0.636,0.606,0.625,0.667,0.606,0.576,0.594,0.667,0.576,0.606,0.69,0.576,0.606,0.758,0.606,0.545,0.606,0.515,0.576,0.625,0.606,0.606,0.576,0.606,0.606,0.636,0.636,0.625,0.576,0.581,0.625,0.606,0.606,0.63,0.688,0.562,0.625,0.5,0.273,0.393,0.281,0.29,0,0.303,0.269,0.571,0.517,0.583,0.321,0.321,0.357,0.464,0.552
"it-b",0.576,0.636,0.576,0.583,0.438,0.667,0.548,0.586,0.576,0.594,0.576,0.576,0.545,0.606,0.576,0.571,0.545,0.688,0.667,0.636,0.545,0.545,0.576,0.576,0.516,0.545,0.63,0.606,0.606,0.606,0.636,0.576,0.636,0.643,0.576,0.606,0.576,0.606,0.576,0.545,0.545,0.606,0.636,0.545,0.656,0.606,0.636,0.515,0.594,0.576,0.576,0.606,0.586,0.576,0.606,0.727,0.636,0.576,0.606,0.515,0.606,0.625,0.515,0.606,0.636,0.545,0.606,0.576,0.606,0.625,0.576,0.581,0.625,0.606,0.606,0.556,0.625,0.594,0.542,0.533,0.273,0.393,0.312,0.355,0.303,0,0.423,0.643,0.552,0.5,0.357,0.357,0.357,0.393,0.517
"it-f",0.577,0.615,0.615,0.619,0.346,0.423,0.385,0.609,0.615,0.615,0.615,0.615,0.577,0.654,0.692,0.682,0.577,0.72,0.692,0.654,0.654,0.654,0.615,0.615,0.615,0.654,0.545,0.654,0.654,0.654,0.654,0.615,0.654,0.619,0.615,0.577,0.615,0.654,0.615,0.577,0.577,0.654,0.692,0.577,0.654,0.654,0.654,0.577,0.64,0.615,0.615,0.654,0.667,0.538,0.654,0.692,0.654,0.615,0.654,0.423,0.692,0.654,0.654,0.654,0.615,0.577,0.615,0.615,0.615,0.684,0.615,0.615,0.72,0.654,0.692,0.696,0.538,0.577,0.556,0.542,0.385,0.409,0.16,0.038,0.269,0.423,0,0.609,0.565,0.5,0.333,0.333,0.417,0.478,0.667
"syr-p",0.571,0.571,0.643,0.524,0.704,0.739,0.692,0.292,0.286,0.444,0.464,0.286,0.321,0.286,0.464,0.261,0.429,0.333,0.429,0.286,0.357,0.357,0.286,0.321,0.385,0.286,0.391,0.25,0.286,0.286,0.321,0.286,0.321,0.375,0.357,0.321,0.286,0.286,0.286,0.286,0.321,0.286,0.321,0.5,0.37,0.5,0.321,0.321,0.296,0.321,0.321,0.321,0.577,0.357,0.286,0.464,0.286,0.393,0.321,0.393,0.357,0.333,0.357,0.286,0.286,0.464,0.321,0.321,0.321,0.238,0.286,0.308,0.37,0.357,0.357,0.391,0.536,0.571,0.474,0.308,0.536,0.5,0.667,0.593,0.571,0.643,0.609,0,0.296,0.25,0.542,0.542,0.375,0.5,0.44
"syr-h",0.655,0.483,0.655,0.381,0.536,0.739,0.704,0.12,0.138,0.321,0.241,0.138,0.172,0.138,0.414,0.25,0.241,0.214,0.276,0.172,0.207,0.207,0.138,0.172,0.259,0.207,0.304,0.138,0.138,0.138,0.172,0.138,0.172,0.2,0.207,0.207,0.138,0.138,0.207,0.172,0.172,0.138,0.172,0.414,0.179,0.345,0.172,0.241,0.143,0.207,0.172,0.172,0.577,0.241,0.138,0.379,0.172,0.241,0.172,0.414,0.172,0.179,0.276,0.138,0.207,0.345,0.172,0.172,0.207,0.19,0.138,0.148,0.25,0.207,0.207,0.333,0.483,0.586,0.45,0.185,0.586,0.28,0.571,0.571,0.517,0.552,0.565,0.296,0,0.364,0.44,0.44,0.36,0.32,0.192
"syr-pal",0.5,0.5,0.75,0.375,0.636,0.7,0.7,0.333,0.333,0.455,0.417,0.333,0.417,0.333,0.5,0.333,0.417,0.545,0.417,0.333,0.333,0.333,0.333,0.25,0.273,0.417,0.273,0.333,0.333,0.333,0.333,0.333,0.417,0.333,0.417,0.5,0.333,0.333,0.333,0.333,0.417,0.333,0.333,0.5,0.364,0.417,0.333,0.25,0.273,0.417,0.333,0.333,0.364,0.25,0.333,0.5,0.333,0.417,0.333,0.333,0.417,0.417,0.25,0.333,0.333,0.5,0.333,0.417,0.333,0.333,0.333,0.364,0.417,0.333,0.417,0.3,0.333,0.25,0.2,0.273,0.667,0.636,0.455,0.455,0.583,0.5,0.5,0.25,0.364,0,0.4,0.4,0.182,0.455,0.364
"vg-ww",0.571,0.536,0.464,0.45,0.444,0.625,0.556,0.44,0.5,0.464,0.5,0.5,0.536,0.536,0.5,0.609,0.464,0.593,0.536,0.536,0.536,0.536,0.5,0.5,0.385,0.571,0.455,0.5,0.536,0.536,0.571,0.5,0.571,0.609,0.571,0.5,0.5,0.536,0.5,0.536,0.536,0.536,0.571,0.571,0.556,0.571,0.571,0.464,0.519,0.571,0.5,0.5,0.583,0.464,0.536,0.714,0.536,0.536,0.536,0.429,0.571,0.536,0.429,0.536,0.5,0.5,0.5,0.571,0.5,0.571,0.5,0.5,0.63,0.5,0.571,0.348,0.393,0.429,0.476,0.385,0.179,0.24,0.296,0.393,0.321,0.357,0.333,0.542,0.44,0.4,0,0,0.111,0.417,0.56
"vg-st",0.571,0.536,0.464,0.45,0.444,0.625,0.556,0.44,0.5,0.464,0.5,0.5,0.536,0.536,0.5,0.609,0.464,0.593,0.536,0.536,0.536,0.536,0.5,0.5,0.385,0.571,0.455,0.5,0.536,0.536,0.571,0.5,0.571,0.609,0.571,0.5,0.5,0.536,0.5,0.536,0.536,0.536,0.571,0.571,0.556,0.571,0.571,0.464,0.519,0.571,0.5,0.5,0.583,0.464,0.536,0.714,0.536,0.536,0.536,0.429,0.571,0.536,0.429,0.536,0.5,0.5,0.5,0.571,0.5,0.571,0.5,0.5,0.63,0.5,0.571,0.348,0.393,0.429,0.476,0.385,0.179,0.24,0.296,0.393,0.321,0.357,0.333,0.542,0.44,0.4,0,0,0.111,0.417,0.56
"vg-cl",0.571,0.607,0.607,0.45,0.481,0.667,0.63,0.32,0.357,0.429,0.464,0.357,0.393,0.393,0.464,0.435,0.357,0.481,0.429,0.393,0.393,0.393,0.357,0.357,0.269,0.429,0.364,0.357,0.393,0.393,0.429,0.357,0.429,0.435,0.464,0.393,0.357,0.393,0.357,0.393,0.393,0.393,0.429,0.5,0.444,0.464,0.429,0.321,0.37,0.429,0.393,0.357,0.5,0.321,0.393,0.571,0.393,0.393,0.429,0.429,0.429,0.393,0.286,0.393,0.357,0.464,0.357,0.429,0.357,0.381,0.357,0.385,0.519,0.393,0.429,0.348,0.464,0.429,0.4,0.269,0.286,0.32,0.333,0.429,0.357,0.357,0.417,0.375,0.36,0.182,0.111,0.111,0,0.44,0.4
"geo-1",0.464,0.536,0.464,0.4,0.593,0.609,0.615,0.44,0.464,0.444,0.393,0.464,0.5,0.429,0.429,0.478,0.536,0.519,0.464,0.464,0.393,0.393,0.464,0.429,0.538,0.429,0.591,0.429,0.429,0.429,0.464,0.464,0.464,0.435,0.464,0.536,0.464,0.429,0.5,0.5,0.5,0.429,0.393,0.464,0.481,0.464,0.464,0.5,0.429,0.464,0.464,0.393,0.5,0.464,0.429,0.643,0.464,0.536,0.429,0.286,0.357,0.407,0.536,0.429,0.536,0.393,0.464,0.464,0.464,0.421,0.464,0.5,0.444,0.393,0.393,0.48,0.429,0.5,0.524,0.37,0.393,0.48,0.556,0.519,0.464,0.393,0.478,0.5,0.32,0.455,0.417,0.417,0.44,0,0.25
"geo-2",0.517,0.517,0.69,0.381,0.607,0.75,0.741,0.269,0.241,0.393,0.276,0.241,0.276,0.207,0.379,0.333,0.345,0.286,0.276,0.241,0.172,0.172,0.241,0.207,0.296,0.207,0.348,0.207,0.207,0.207,0.241,0.241,0.241,0.208,0.276,0.31,0.241,0.207,0.276,0.276,0.276,0.207,0.172,0.379,0.25,0.241,0.241,0.31,0.207,0.276,0.276,0.276,0.4,0.276,0.207,0.448,0.241,0.31,0.241,0.414,0.172,0.25,0.31,0.207,0.31,0.345,0.276,0.241,0.31,0.35,0.241,0.259,0.286,0.31,0.207,0.346,0.483,0.448,0.455,0.143,0.552,0.423,0.643,0.679,0.552,0.517,0.667,0.44,0.192,0.364,0.56,0.56,0.4,0.25,0
