"","01","A","B","C","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","arm","cop-sa","cop-bo","eth","slav","it-ar","it-mon","it-d","it-g","it-o","it-b","it-f","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"205",0.576,0.515,0.727,0.5,0.594,0.741,0.71,0.138,0.091,0.219,0.152,0.121,0.121,0.091,0.394,0.179,0.212,0.125,0.212,0.091,0,0,0.091,0.061,0.129,0.121,0.296,0.091,0.061,0.061,0.091,0.091,0.091,0.107,0.121,0.212,0.091,0.061,0.091,0.152,0.121,0.061,0.091,0.273,0.125,0.212,0.091,0.212,0.031,0.121,0.121,0.152,0.483,0.182,0.061,0.303,0.091,0.152,0.091,0.364,0.212,0.094,0.152,0.061,0.152,0.212,0.121,0.091,0.212,0.167,0.121,0.097,0.188,0.182,0.061,0.444,0.531,0.531,0.458,0.167,0.576,0.464,0.656,0.645,0.545,0.545,0.654,0.357,0.207,0.333,0.536,0.536,0.393,0.393,0.172
"209",0.576,0.515,0.727,0.5,0.594,0.741,0.71,0.138,0.091,0.219,0.152,0.121,0.121,0.091,0.394,0.179,0.212,0.125,0.212,0.091,0,0,0.091,0.061,0.129,0.121,0.296,0.091,0.061,0.061,0.091,0.091,0.091,0.107,0.121,0.212,0.091,0.061,0.091,0.152,0.121,0.061,0.091,0.273,0.125,0.212,0.091,0.212,0.031,0.121,0.121,0.152,0.483,0.182,0.061,0.303,0.091,0.152,0.091,0.364,0.212,0.094,0.152,0.061,0.152,0.212,0.121,0.091,0.212,0.167,0.121,0.097,0.188,0.182,0.061,0.444,0.531,0.531,0.458,0.167,0.576,0.464,0.656,0.645,0.545,0.545,0.654,0.357,0.207,0.333,0.536,0.536,0.393,0.393,0.172
"226",0.606,0.545,0.697,0.375,0.562,0.815,0.774,0.034,0,0.188,0.242,0.03,0.03,0.061,0.424,0.107,0.121,0.094,0.182,0.061,0.091,0.091,0,0.091,0.161,0.152,0.333,0.061,0.03,0.03,0.061,0,0.061,0.071,0.091,0.121,0,0.03,0.061,0.061,0.03,0.03,0.061,0.242,0.094,0.182,0.061,0.242,0.031,0.091,0.03,0.121,0.552,0.212,0.03,0.273,0.061,0.091,0.061,0.455,0.182,0.062,0.182,0.03,0.061,0.303,0.03,0.061,0.121,0.083,0.03,0,0.188,0.152,0.091,0.37,0.562,0.562,0.375,0.167,0.667,0.357,0.625,0.613,0.576,0.576,0.615,0.286,0.138,0.333,0.5,0.5,0.357,0.464,0.241
"323",0.606,0.545,0.758,0.458,0.562,0.741,0.71,0.103,0.091,0.219,0.212,0.091,0.121,0.061,0.424,0.179,0.212,0.125,0.212,0.091,0.061,0.061,0.091,0,0.097,0.152,0.259,0.061,0.061,0.061,0.091,0.091,0.091,0.143,0.121,0.182,0.091,0.061,0.091,0.152,0.121,0.061,0.091,0.333,0.125,0.212,0.091,0.182,0.031,0.121,0.121,0.152,0.517,0.152,0.061,0.303,0.091,0.182,0.091,0.394,0.242,0.094,0.121,0.061,0.152,0.242,0.121,0.091,0.182,0.125,0.061,0.097,0.219,0.182,0.121,0.407,0.5,0.562,0.417,0.133,0.606,0.429,0.625,0.613,0.576,0.576,0.615,0.321,0.172,0.25,0.5,0.5,0.357,0.429,0.207
"326",0.613,0.548,0.742,0.435,0.613,0.815,0.767,0.185,0.161,0.233,0.29,0.161,0.194,0.129,0.419,0.259,0.226,0.2,0.226,0.161,0.129,0.129,0.161,0.097,0,0.194,0.222,0.097,0.129,0.129,0.161,0.161,0.161,0.231,0.194,0.258,0.161,0.129,0.161,0.226,0.194,0.129,0.161,0.419,0.194,0.29,0.161,0.161,0.1,0.194,0.194,0.226,0.5,0.129,0.129,0.355,0.161,0.194,0.161,0.452,0.323,0.167,0.032,0.129,0.226,0.29,0.194,0.161,0.258,0.227,0.161,0.161,0.3,0.258,0.194,0.385,0.5,0.5,0.435,0.179,0.516,0.423,0.633,0.621,0.581,0.516,0.615,0.385,0.259,0.273,0.385,0.385,0.269,0.538,0.296
"330",0.576,0.515,0.697,0.375,0.625,0.778,0.742,0.172,0.152,0.281,0.273,0.152,0.121,0.121,0.364,0.214,0.212,0.188,0.273,0.152,0.121,0.121,0.152,0.152,0.194,0,0.333,0.091,0.121,0.121,0.152,0.152,0.152,0.179,0.121,0.182,0.152,0.121,0.212,0.091,0.121,0.121,0.152,0.273,0.188,0.303,0.152,0.242,0.125,0.121,0.182,0.212,0.448,0.242,0.121,0.273,0.152,0.212,0.152,0.424,0.242,0.156,0.212,0.121,0.212,0.212,0.182,0.091,0.242,0.208,0.152,0.161,0.219,0.242,0.121,0.407,0.531,0.531,0.417,0.167,0.545,0.393,0.688,0.645,0.606,0.545,0.654,0.286,0.207,0.417,0.571,0.571,0.429,0.429,0.207
"365",0.407,0.407,0.778,0.474,0.556,0.696,0.654,0.391,0.333,0.423,0.444,0.333,0.37,0.296,0.481,0.435,0.407,0.385,0.333,0.296,0.296,0.296,0.333,0.259,0.222,0.333,0,0.259,0.296,0.296,0.333,0.333,0.333,0.409,0.37,0.407,0.333,0.296,0.333,0.37,0.37,0.296,0.333,0.593,0.333,0.407,0.333,0.111,0.269,0.37,0.37,0.296,0.458,0.074,0.296,0.407,0.296,0.37,0.333,0.481,0.407,0.346,0.222,0.296,0.333,0.333,0.37,0.333,0.37,0.364,0.333,0.333,0.385,0.333,0.37,0.391,0.5,0.423,0.5,0.2,0.593,0.409,0.577,0.56,0.593,0.63,0.545,0.391,0.304,0.273,0.455,0.455,0.364,0.591,0.348
"424",0.606,0.545,0.697,0.375,0.594,0.778,0.742,0.069,0.061,0.188,0.242,0.061,0.091,0.03,0.364,0.143,0.182,0.094,0.182,0.061,0.091,0.091,0.061,0.061,0.097,0.091,0.259,0,0.03,0.03,0.061,0.061,0.061,0.107,0.091,0.152,0.061,0.03,0.121,0.121,0.091,0.03,0.061,0.303,0.094,0.242,0.061,0.182,0.031,0.091,0.091,0.121,0.517,0.152,0.03,0.273,0.061,0.152,0.061,0.394,0.212,0.062,0.121,0.03,0.121,0.242,0.091,0.061,0.152,0.083,0.061,0.065,0.188,0.152,0.091,0.37,0.5,0.562,0.375,0.1,0.606,0.357,0.656,0.645,0.606,0.606,0.654,0.25,0.138,0.333,0.5,0.5,0.357,0.429,0.207
"440",0.636,0.576,0.727,0.417,0.594,0.778,0.742,0.069,0.03,0.156,0.212,0.061,0.061,0.03,0.394,0.143,0.152,0.062,0.152,0.03,0.061,0.061,0.03,0.061,0.129,0.121,0.296,0.03,0,0,0.03,0.03,0.03,0.071,0.061,0.152,0.03,0,0.091,0.091,0.061,0,0.03,0.273,0.062,0.212,0.03,0.212,0,0.061,0.061,0.091,0.552,0.182,0,0.242,0.03,0.121,0.03,0.424,0.212,0.031,0.152,0,0.091,0.273,0.061,0.03,0.152,0.083,0.061,0.032,0.156,0.121,0.061,0.407,0.531,0.594,0.417,0.133,0.636,0.393,0.656,0.645,0.606,0.606,0.654,0.286,0.138,0.333,0.536,0.536,0.393,0.429,0.207
"460",0.636,0.576,0.727,0.417,0.594,0.778,0.742,0.069,0.03,0.156,0.212,0.061,0.061,0.03,0.394,0.143,0.152,0.062,0.152,0.03,0.061,0.061,0.03,0.061,0.129,0.121,0.296,0.03,0,0,0.03,0.03,0.03,0.071,0.061,0.152,0.03,0,0.091,0.091,0.061,0,0.03,0.273,0.062,0.212,0.03,0.212,0,0.061,0.061,0.091,0.552,0.182,0,0.242,0.03,0.121,0.03,0.424,0.212,0.031,0.152,0,0.091,0.273,0.061,0.03,0.152,0.083,0.061,0.032,0.156,0.121,0.061,0.407,0.531,0.594,0.417,0.133,0.636,0.393,0.656,0.645,0.606,0.606,0.654,0.286,0.138,0.333,0.536,0.536,0.393,0.429,0.207
