"","01","A","B","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","RomFragD"
"205",0.547,0.519,0.604,0.62,0.667,0.612,0.089,0.075,0.2,0.208,0.075,0.094,0.113,0.283,0.196,0.192,0.24,0.226,0.132,0,0,0.057,0.113,0.208,0.173,0.302,0.094,0.038,0.094,0.038,0.057,0.038,0.151,0.132,0.132,0.057,0.019,0.113,0.094,0.113,0.075,0.057,0.226,0.173,0.151,0.057,0.358,0.094,0.075,0.038,0.132,0.431,0.321,0.038,0.208,0.151,0.132,0.132,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.17,0.132,0.132,0.159,0.151,0.07,0.174,0.151,0.113,0.591
"209",0.547,0.519,0.604,0.62,0.667,0.612,0.089,0.075,0.2,0.208,0.075,0.094,0.113,0.283,0.196,0.192,0.24,0.226,0.132,0,0,0.057,0.113,0.208,0.173,0.302,0.094,0.038,0.094,0.038,0.057,0.038,0.151,0.132,0.132,0.057,0.019,0.113,0.094,0.113,0.075,0.057,0.226,0.173,0.151,0.057,0.358,0.094,0.075,0.038,0.132,0.431,0.321,0.038,0.208,0.151,0.132,0.132,0.528,0.151,0.077,0.208,0.038,0.132,0.396,0.17,0.132,0.132,0.159,0.151,0.07,0.174,0.151,0.113,0.591
"226",0.528,0.481,0.566,0.58,0.667,0.571,0.111,0.057,0.178,0.189,0.057,0.075,0.094,0.302,0.176,0.154,0.26,0.208,0.113,0.057,0.057,0,0.094,0.167,0.154,0.256,0.075,0.019,0.075,0.057,0.038,0.057,0.132,0.113,0.113,0.038,0.038,0.094,0.075,0.113,0.057,0.038,0.189,0.154,0.132,0.038,0.302,0.075,0.057,0.019,0.113,0.392,0.302,0.019,0.189,0.132,0.113,0.113,0.509,0.17,0.058,0.151,0.019,0.113,0.396,0.151,0.113,0.151,0.136,0.132,0.023,0.174,0.132,0.094,0.545
"323",0.566,0.538,0.623,0.64,0.667,0.633,0.156,0.113,0.222,0.245,0.094,0.094,0.094,0.34,0.196,0.231,0.32,0.226,0.17,0.113,0.113,0.094,0,0.229,0.192,0.326,0.113,0.075,0.094,0.113,0.057,0.075,0.17,0.113,0.132,0.057,0.094,0.113,0.132,0.17,0.113,0.094,0.226,0.154,0.151,0.094,0.358,0.094,0.075,0.075,0.17,0.431,0.34,0.075,0.245,0.151,0.17,0.132,0.509,0.208,0.115,0.226,0.075,0.17,0.396,0.17,0.132,0.189,0.182,0.113,0.116,0.217,0.17,0.094,0.568
"326",0.521,0.468,0.479,0.574,0.7,0.6,0.225,0.188,0.3,0.312,0.167,0.188,0.208,0.354,0.196,0.234,0.311,0.292,0.188,0.208,0.208,0.167,0.229,0,0.17,0.302,0.146,0.167,0.208,0.208,0.188,0.208,0.271,0.25,0.208,0.188,0.188,0.25,0.208,0.229,0.188,0.188,0.312,0.292,0.25,0.188,0.333,0.229,0.188,0.167,0.25,0.383,0.292,0.167,0.292,0.292,0.229,0.229,0.479,0.25,0.191,0.042,0.167,0.229,0.458,0.229,0.25,0.229,0.275,0.229,0.163,0.293,0.271,0.25,0.513
"330",0.423,0.451,0.519,0.49,0.621,0.542,0.156,0.154,0.227,0.25,0.154,0.154,0.173,0.308,0.22,0.25,0.265,0.269,0.212,0.173,0.173,0.154,0.192,0.17,0,0.238,0.115,0.135,0.192,0.173,0.154,0.173,0.231,0.231,0.173,0.154,0.154,0.212,0.173,0.192,0.135,0.154,0.288,0.255,0.25,0.154,0.269,0.173,0.154,0.135,0.212,0.32,0.25,0.135,0.25,0.25,0.212,0.212,0.442,0.212,0.137,0.173,0.135,0.192,0.346,0.25,0.212,0.192,0.209,0.135,0.14,0.239,0.231,0.212,0.523
"365",0.326,0.333,0.395,0.429,0.52,0.425,0.257,0.279,0.286,0.349,0.256,0.279,0.302,0.279,0.317,0.286,0.275,0.349,0.256,0.302,0.302,0.256,0.326,0.302,0.238,0,0.233,0.256,0.256,0.302,0.279,0.302,0.349,0.302,0.279,0.279,0.279,0.302,0.256,0.326,0.256,0.233,0.326,0.326,0.349,0.279,0.163,0.326,0.279,0.256,0.233,0.286,0.14,0.256,0.302,0.279,0.326,0.279,0.395,0.186,0.286,0.279,0.256,0.279,0.419,0.349,0.279,0.233,0.275,0.279,0.263,0.278,0.256,0.302,0.444
"424",0.472,0.462,0.528,0.56,0.633,0.551,0.111,0.094,0.156,0.17,0.075,0.075,0.075,0.283,0.157,0.212,0.24,0.226,0.151,0.094,0.094,0.075,0.113,0.146,0.115,0.233,0,0.057,0.113,0.094,0.075,0.094,0.17,0.151,0.094,0.075,0.075,0.094,0.113,0.151,0.094,0.075,0.245,0.192,0.132,0.075,0.302,0.113,0.094,0.057,0.151,0.353,0.264,0.057,0.208,0.132,0.151,0.151,0.453,0.151,0.096,0.151,0.057,0.151,0.396,0.151,0.151,0.132,0.136,0.113,0.07,0.196,0.17,0.132,0.523
"440",0.509,0.481,0.566,0.58,0.667,0.571,0.089,0.038,0.156,0.17,0.038,0.057,0.075,0.283,0.157,0.154,0.24,0.189,0.094,0.038,0.038,0.019,0.075,0.167,0.135,0.256,0.057,0,0.057,0.038,0.019,0.038,0.113,0.094,0.094,0.019,0.019,0.075,0.057,0.094,0.038,0.019,0.189,0.135,0.113,0.019,0.321,0.057,0.038,0,0.094,0.392,0.283,0,0.189,0.113,0.094,0.094,0.491,0.151,0.038,0.17,0,0.094,0.377,0.132,0.094,0.132,0.114,0.113,0.023,0.152,0.113,0.075,0.545
"460",0.528,0.5,0.585,0.58,0.7,0.571,0.133,0.094,0.178,0.226,0.094,0.075,0.094,0.34,0.176,0.173,0.22,0.17,0.113,0.094,0.094,0.075,0.094,0.208,0.192,0.256,0.113,0.057,0,0.094,0.038,0.057,0.17,0.075,0.151,0.038,0.075,0.132,0.113,0.113,0.094,0.075,0.17,0.115,0.132,0.075,0.34,0.075,0.057,0.057,0.151,0.392,0.302,0.057,0.245,0.094,0.151,0.038,0.509,0.17,0.096,0.226,0.057,0.113,0.396,0.113,0.075,0.151,0.182,0.132,0.07,0.196,0.17,0.057,0.591
