"","01","A","B","C","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","arm","cop-sa","cop-bo","eth","slav","it-ar","it-mon","it-d","it-g","it-o","it-b","it-f","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"1270",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1315",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1319",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1352",32,32,32,23,31,26,30,28,32,31,32,32,32,32,32,27,32,31,32,32,32,32,32,32,30,32,26,32,32,32,32,32,32,27,32,32,32,32,32,32,32,32,32,32,31,32,32,32,32,32,32,32,28,32,32,32,32,32,32,32,32,31,32,32,32,32,32,32,32,23,32,30,31,32,32,27,31,31,24,30,32,27,31,30,32,32,25,27,28,11,27,27,27,28,29
"1424",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1448",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1505",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1506",29,29,29,21,28,25,27,25,29,28,29,29,29,29,29,25,29,28,29,29,29,29,29,29,28,29,24,29,29,29,29,29,29,26,29,29,29,29,29,29,29,29,29,29,28,29,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,28,29,29,29,29,29,29,29,21,29,28,28,29,29,23,28,28,21,26,29,24,28,27,29,29,24,26,26,11,24,24,24,24,25
"1573",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1611",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1646",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1734",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1735",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1738",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1739",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1827",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1836",32,32,32,23,31,27,30,29,32,31,32,32,32,32,32,27,32,31,32,32,32,32,32,32,30,32,26,32,32,32,32,32,32,27,32,32,32,32,32,32,32,32,32,32,31,32,32,32,31,32,32,32,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,24,32,30,31,32,32,26,31,31,23,29,32,27,31,30,32,32,26,27,28,12,28,28,28,27,28
"1837",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1854",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1874",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
