"","01","A","B","C","D","F","G","K","L","P","044","049","056","1","6","33","69","88","104","131","205","209","226","323","326","330","365","424","440","460","489","517","547","614","618","796","910","927","945","999","1175","1241","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1506","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1881","1891","2125","2147","2344","2400","2412","2464","2495","2815","arm","cop-sa","cop-bo","eth","slav","it-ar","it-mon","it-d","it-g","it-o","it-b","it-f","syr-p","syr-h","syr-pal","vg-ww","vg-st","vg-cl","geo-1","geo-2"
"1881",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"1891",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"2125",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"2147",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"2344",24,24,24,17,23,20,23,21,24,24,24,24,24,24,24,20,24,23,24,24,24,24,24,24,22,24,22,24,24,24,24,24,24,21,24,24,24,24,24,24,24,24,24,24,23,24,24,24,23,24,24,24,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,23,24,24,19,23,23,16,22,24,19,23,23,24,24,19,21,21,9,21,21,21,19,20
"2400",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"2412",31,31,31,23,31,27,30,27,31,30,31,31,31,31,31,27,31,30,31,31,31,31,31,31,31,31,27,31,31,31,31,31,31,26,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,31,31,31,28,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,22,31,31,30,31,31,26,30,30,23,28,31,26,30,29,31,31,26,26,27,11,26,26,26,26,27
"2464",32,32,32,23,31,26,30,29,32,31,32,32,32,32,32,27,32,31,32,32,32,32,32,32,30,32,26,32,32,32,32,32,32,27,32,32,32,32,32,32,32,32,32,32,31,32,32,32,31,32,32,32,28,32,32,32,32,32,32,32,32,31,32,32,32,32,32,32,32,23,32,30,32,32,32,27,31,31,24,29,32,27,31,30,32,32,25,27,28,12,27,27,27,27,28
"2495",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"2815",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"arm",27,27,27,20,27,23,26,24,27,26,27,27,27,27,27,22,27,26,27,27,27,27,27,27,26,27,23,27,27,27,27,27,27,22,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,23,27,27,27,27,27,27,27,27,26,27,27,27,27,27,27,27,19,27,26,27,27,27,27,27,27,20,27,27,23,26,26,27,27,23,23,24,10,23,23,23,25,26
"cop-sa",32,32,32,23,31,26,30,28,32,31,32,32,32,32,32,27,32,31,32,32,32,32,32,32,30,32,26,32,32,32,32,32,32,27,32,32,32,32,32,32,32,32,32,32,31,32,32,32,31,32,32,32,28,32,32,32,32,32,32,32,32,31,32,32,32,32,32,32,32,23,32,30,31,32,32,27,32,32,23,30,32,28,31,31,32,32,26,28,29,12,28,28,28,28,29
"cop-bo",32,32,32,23,31,26,30,28,32,31,32,32,32,32,32,27,32,31,32,32,32,32,32,32,30,32,26,32,32,32,32,32,32,27,32,32,32,32,32,32,32,32,32,32,31,32,32,32,31,32,32,32,28,32,32,32,32,32,32,32,32,31,32,32,32,32,32,32,32,23,32,30,31,32,32,27,32,32,23,30,32,28,31,31,32,32,26,28,29,12,28,28,28,28,29
"eth",24,24,24,16,23,19,22,23,24,23,24,24,24,24,24,20,24,23,24,24,24,24,24,24,23,24,20,24,24,24,24,24,24,19,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,21,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,16,24,23,24,24,24,20,23,23,24,22,24,22,23,22,24,24,18,19,20,10,21,21,20,21,22
"slav",30,30,30,21,29,24,28,26,30,29,30,30,30,30,30,25,30,29,30,30,30,30,30,30,28,30,25,30,30,30,30,30,30,25,30,30,30,30,30,30,30,30,30,30,29,30,30,30,30,30,30,30,26,30,30,30,30,30,30,30,30,29,30,30,30,30,30,30,30,22,30,28,29,30,30,27,30,30,22,30,30,26,29,29,30,30,24,26,27,11,26,26,26,27,28
"it-ar",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"it-mon",28,28,28,21,27,22,26,25,28,27,28,28,28,28,28,23,28,27,28,28,28,28,28,28,26,28,22,28,28,28,28,28,28,23,28,28,28,28,28,28,28,28,28,28,27,28,28,28,27,28,28,28,24,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,19,28,26,27,28,28,23,28,28,22,26,28,28,28,27,28,28,22,24,25,11,25,25,25,25,26
"it-d",32,32,32,24,31,26,30,28,32,31,32,32,32,32,32,27,32,31,32,32,32,32,32,32,30,32,26,32,32,32,32,32,32,27,32,32,32,32,32,32,32,32,32,32,31,32,32,32,31,32,32,32,28,32,32,32,32,32,32,32,32,31,32,32,32,32,32,32,32,23,32,30,31,32,32,26,31,31,23,29,32,28,32,30,32,32,25,27,28,11,27,27,27,27,28
"it-g",31,31,31,23,30,26,30,27,31,31,31,31,31,31,31,26,31,30,31,31,31,31,31,31,29,31,25,31,31,31,31,31,31,26,31,31,31,31,31,31,31,31,31,31,30,31,31,31,30,31,31,31,27,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,31,23,31,29,30,31,31,26,31,31,22,29,31,27,30,31,31,31,26,27,28,11,28,28,28,27,28
"it-o",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"it-b",33,33,33,24,32,27,31,29,33,32,33,33,33,33,33,28,33,32,33,33,33,33,33,33,31,33,27,33,33,33,33,33,33,28,33,33,33,33,33,33,33,33,33,33,32,33,33,33,32,33,33,33,29,33,33,33,33,33,33,33,33,32,33,33,33,33,33,33,33,24,33,31,32,33,33,27,32,32,24,30,33,28,32,31,33,33,26,28,29,12,28,28,28,28,29
"it-f",26,26,26,21,26,26,26,23,26,26,26,26,26,26,26,22,26,25,26,26,26,26,26,26,26,26,22,26,26,26,26,26,26,21,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,26,26,26,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,19,26,26,25,26,26,23,26,26,18,24,26,22,25,26,26,26,26,23,23,10,24,24,24,23,24
"syr-p",28,28,28,21,27,23,26,24,28,27,28,28,28,28,28,23,28,27,28,28,28,28,28,28,26,28,23,28,28,28,28,28,28,24,28,28,28,28,28,28,28,28,28,28,27,28,28,28,27,28,28,28,26,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,21,28,26,27,28,28,23,28,28,19,26,28,24,27,27,28,28,23,28,27,12,24,24,24,24,25
"syr-h",29,29,29,21,28,23,27,25,29,28,29,29,29,29,29,24,29,28,29,29,29,29,29,29,27,29,23,29,29,29,29,29,29,25,29,29,29,29,29,29,29,29,29,29,28,29,29,29,28,29,29,29,26,29,29,29,29,29,29,29,29,28,29,29,29,29,29,29,29,21,29,27,28,29,29,24,29,29,20,27,29,25,28,28,29,29,23,27,29,11,25,25,25,25,26
"syr-pal",12,12,12,8,11,10,10,12,12,11,12,12,12,12,12,9,12,11,12,12,12,12,12,12,11,12,11,12,12,12,12,12,12,9,12,12,12,12,12,12,12,12,12,12,11,12,12,12,11,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,12,11,12,12,12,10,12,12,10,11,12,11,11,11,12,12,10,12,11,12,10,10,11,11,11
"vg-ww",28,28,28,20,27,24,27,25,28,28,28,28,28,28,28,23,28,27,28,28,28,28,28,28,26,28,22,28,28,28,28,28,28,23,28,28,28,28,28,28,28,28,28,28,27,28,28,28,27,28,28,28,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,21,28,26,27,28,28,23,28,28,21,26,28,25,27,28,28,28,24,24,25,10,28,28,27,24,25
"vg-st",28,28,28,20,27,24,27,25,28,28,28,28,28,28,28,23,28,27,28,28,28,28,28,28,26,28,22,28,28,28,28,28,28,23,28,28,28,28,28,28,28,28,28,28,27,28,28,28,27,28,28,28,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,21,28,26,27,28,28,23,28,28,21,26,28,25,27,28,28,28,24,24,25,10,28,28,27,24,25
"vg-cl",28,28,28,20,27,24,27,25,28,28,28,28,28,28,28,23,28,27,28,28,28,28,28,28,26,28,22,28,28,28,28,28,28,23,28,28,28,28,28,28,28,28,28,28,27,28,28,28,27,28,28,28,24,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,21,28,26,27,28,28,23,28,28,20,26,28,25,27,28,28,28,24,24,25,11,27,27,28,25,25
"geo-1",28,28,28,20,27,23,26,25,28,27,28,28,28,28,28,23,28,27,28,28,28,28,28,28,26,28,22,28,28,28,28,28,28,23,28,28,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,24,28,28,28,28,28,28,28,28,27,28,28,28,28,28,28,28,19,28,26,27,28,28,25,28,28,21,27,28,25,27,27,28,28,23,24,25,11,24,24,25,28,28
"geo-2",29,29,29,21,28,24,27,26,29,28,29,29,29,29,29,24,29,28,29,29,29,29,29,29,27,29,23,29,29,29,29,29,29,24,29,29,29,29,29,29,29,29,29,29,28,29,29,29,29,29,29,29,25,29,29,29,29,29,29,29,29,28,29,29,29,29,29,29,29,20,29,27,28,29,29,26,29,29,22,28,29,26,28,28,29,29,24,25,26,11,25,25,25,28,29
