"","P46","01","A","B","C","D","F","G","K","L","044","056","075","1","6","33","69","88","104","131","205","209","226","323","330","440","460","489","517","547","614","618","796","910","927","945","999","1175","1242","1243","1245","1270","1315","1319","1352","1424","1448","1505","1573","1611","1646","1734","1735","1738","1739","1827","1836","1837","1854","1874","1891","1982","2125","2147","2400","2412","2464","2815","JohnComB"
"517",0.453,0.299,0.226,0.28,0.172,0.406,0.528,0.519,0.028,0.066,0.187,0.075,0.103,0.075,0.159,0.321,0.14,0.168,0.178,0.065,0.084,0.075,0.056,0.121,0.21,0.075,0.121,0.084,0,0.056,0.065,0.121,0.093,0.047,0.103,0.094,0.075,0.271,0.075,0.229,0.121,0.047,0.159,0.198,0.075,0.085,0.065,0.178,0.159,0.159,0.131,0.047,0.103,0.131,0.215,0.093,0.17,0.196,0.028,0.226,0.056,0.056,0.028,0.179,0.234,0.075,0.486,0.057,0.182
"547",0.477,0.327,0.255,0.29,0.172,0.425,0.547,0.547,0.065,0.085,0.168,0.047,0.131,0.075,0.15,0.302,0.168,0.187,0.196,0.075,0.084,0.075,0.056,0.084,0.219,0.056,0.131,0.084,0.056,0,0.084,0.131,0.056,0.065,0.084,0.075,0.056,0.271,0.037,0.257,0.121,0.065,0.178,0.189,0.056,0.104,0.009,0.206,0.159,0.131,0.14,0.065,0.121,0.112,0.224,0.056,0.179,0.196,0.028,0.245,0.065,0.056,0.047,0.198,0.224,0.093,0.477,0.038,0.182
"614",0.477,0.346,0.292,0.327,0.226,0.453,0.585,0.575,0.093,0.123,0.215,0.112,0.14,0.103,0.187,0.349,0.206,0.234,0.206,0.112,0.112,0.121,0.056,0.112,0.238,0.103,0.159,0.112,0.065,0.084,0,0.15,0.103,0.103,0.093,0.113,0.093,0.318,0.084,0.229,0.14,0.093,0.178,0.217,0.084,0.142,0.093,0.196,0.187,0.187,0.159,0.093,0.168,0.112,0.262,0.103,0.226,0.215,0.075,0.274,0.093,0.075,0.085,0.189,0.243,0.028,0.477,0.066,0.364
"618",0.547,0.393,0.33,0.364,0.269,0.481,0.604,0.585,0.112,0.123,0.28,0.15,0.168,0.14,0.243,0.377,0.252,0.215,0.271,0.168,0.178,0.15,0.15,0.168,0.267,0.15,0.075,0.131,0.121,0.131,0.15,0,0.159,0.15,0.131,0.16,0.14,0.318,0.131,0.219,0.178,0.121,0.121,0.274,0.131,0.113,0.14,0.234,0.252,0.224,0.15,0.112,0.15,0.075,0.308,0.168,0.17,0.215,0.121,0.255,0.131,0.121,0.123,0.208,0.262,0.178,0.477,0.132,0.273
"796",0.477,0.355,0.283,0.327,0.204,0.443,0.575,0.575,0.103,0.113,0.196,0.093,0.168,0.103,0.168,0.33,0.196,0.224,0.196,0.121,0.065,0.075,0.075,0.047,0.238,0.056,0.159,0.103,0.093,0.056,0.103,0.159,0,0.121,0.103,0.038,0.093,0.308,0.056,0.267,0.131,0.103,0.168,0.226,0.075,0.16,0.065,0.224,0.187,0.168,0.159,0.103,0.159,0.131,0.262,0.075,0.217,0.224,0.065,0.302,0.121,0.093,0.085,0.236,0.243,0.112,0.486,0.047,0.455
"910",0.465,0.318,0.255,0.308,0.204,0.443,0.566,0.557,0.056,0.094,0.215,0.084,0.14,0.103,0.196,0.34,0.178,0.196,0.215,0.084,0.112,0.103,0.084,0.14,0.248,0.103,0.15,0.103,0.047,0.065,0.103,0.15,0.121,0,0.121,0.104,0.084,0.308,0.103,0.276,0.15,0.075,0.178,0.208,0.103,0.094,0.075,0.215,0.187,0.196,0.159,0.065,0.15,0.159,0.252,0.121,0.189,0.215,0.056,0.236,0.075,0.084,0.047,0.179,0.271,0.103,0.495,0.104,0.182
"927",0.5,0.355,0.302,0.336,0.226,0.462,0.594,0.585,0.112,0.113,0.234,0.121,0.159,0.103,0.178,0.34,0.234,0.234,0.234,0.131,0.131,0.14,0.093,0.093,0.238,0.103,0.159,0.047,0.103,0.084,0.093,0.131,0.103,0.121,0,0.104,0.093,0.327,0.065,0.257,0.14,0.093,0.159,0.255,0.084,0.151,0.093,0.178,0.187,0.168,0.121,0.084,0.187,0.112,0.271,0.103,0.226,0.178,0.093,0.292,0.112,0.075,0.104,0.179,0.224,0.121,0.505,0.066,0.273
"945",0.459,0.349,0.286,0.321,0.207,0.448,0.581,0.581,0.104,0.114,0.217,0.085,0.179,0.094,0.189,0.314,0.198,0.226,0.217,0.142,0.066,0.075,0.094,0.047,0.231,0.057,0.16,0.085,0.094,0.075,0.113,0.16,0.038,0.104,0.104,0,0.094,0.311,0.066,0.269,0.142,0.094,0.16,0.226,0.094,0.152,0.085,0.217,0.208,0.17,0.151,0.104,0.16,0.142,0.264,0.094,0.229,0.217,0.066,0.305,0.113,0.104,0.086,0.219,0.255,0.123,0.481,0.057,0.364
"999",0.488,0.346,0.274,0.308,0.194,0.434,0.566,0.557,0.084,0.104,0.224,0.084,0.168,0.093,0.178,0.33,0.196,0.196,0.224,0.112,0.103,0.112,0.075,0.121,0.229,0.065,0.15,0.084,0.075,0.056,0.093,0.14,0.093,0.084,0.093,0.094,0,0.28,0.075,0.229,0.14,0.075,0.159,0.189,0.065,0.113,0.065,0.187,0.15,0.187,0.15,0.103,0.159,0.131,0.243,0.093,0.17,0.187,0.065,0.236,0.084,0.075,0.066,0.17,0.252,0.112,0.477,0.075,0.273
"1175",0.488,0.299,0.302,0.271,0.215,0.425,0.604,0.594,0.262,0.321,0.29,0.271,0.299,0.308,0.336,0.292,0.243,0.252,0.206,0.29,0.299,0.28,0.308,0.318,0.238,0.271,0.299,0.29,0.271,0.271,0.318,0.318,0.308,0.308,0.327,0.311,0.28,0,0.29,0.4,0.355,0.252,0.336,0.236,0.271,0.311,0.28,0.336,0.224,0.308,0.327,0.308,0.271,0.327,0.252,0.28,0.283,0.364,0.262,0.349,0.29,0.29,0.283,0.406,0.28,0.327,0.458,0.283,0.091
