,"1.7.1","1.7.2","1.8.1","1.8.2","1.8.3","1.10.1","1.10.2","1.10.3","1.10.4","1.12.1","1.12.2","2.2.1","2.2.2","2.7","2.8","2.15.1","2.15.2","2.16.1","2.16.2","2.16.3","3.3.1","3.3.2","3.3.3","3.3.4","3.5","3.6","3.7.1","3.7.2","3.7.3","3.7.4","3.7.5","3.9.1","3.9.2","3.10.1","3.10.2","3.13","3.15","3.16.1","3.16.2","3.18.1","3.18.2","3.18.3","4.3","4.4.1","4.4.2","4.4.3","4.10","4.16","4.17","5.8","5.10.1","5.10.2","5.10.3","5.20","6.7","8.9","10.18","11.14","11.23","12.9","12.10.1","12.10.2","12.11","12.19"
"1175","1","1","1","1","1","1","1","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","8","3","1","2","1","1","1","2","1","1","1","2","2","5","1","1","1","1","1","3","1","1","1","2","3","1","1","1","1","1","4","6","1","6","2","1","1","1","1"
"1241","3","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","8","3","1","2","1","1","1","2","1","3","1","8","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"1242","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","2","8","3","1","2","1","1","1","2","1","3","1","8","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","2","1","2","2","6","2","1","3","3","2"
"1243","2","1","2","5","5","1","3","1","2","1","4","2","2","1","1","1","1","2","1","2","2","1","3","1","5","6","3","1","2","5","1","1","2","1","3","1","8","2","2","1","1","1","5","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"1245","2","5","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","8","3","1","2","1","1","1","2","1","3","4","8","2","9","1","1","1","1","3","1","3","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"1270","2","1","2","5","5","1","3","1","3","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","2","8","3","3","2","1","2","1","2","1","3","1","8","1","9","2","1","1","1","3","1","2","2","1","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"1315","2","1","2","2","5","4","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","8","3","3","2","3","1","1","2","1","3","4","8","2","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","2","1","2","2","6","2","1","3","3","2"
"1319","2","1","1","1","1","1","2","2","2","1","1","2","1","1","1","1","2","1","1","1","2","2","3","1","1","7","3","1","2","4","1","3","2","1","1","1","3","1","9","1","1","1","1","3","3","2","2","1","2","3","1","1","2","1","1","1","1","1","6","2","1","3","2","1"
"1352","2","1","2","5","5","1","3","1","2","1","4","2","1","NA","NA","1","1","2","1","2","2","1","3","1","1","8","3","1","2","1","1","1","2","1","3","1","8","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"1424","2","1","2","2","5","1","3","1","2","1","4","2","2","1","1","1","1","2","1","2","1","1","1","1","1","8","3","1","2","1","1","1","2","1","3","3","4","2","1","1","1","1","1","1","1","2","1","3","2","1","1","2","1","1","1","1","2","2","6","2","1","3","3","2"
"1448","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","2","3","1","2","1","1","1","2","1","3","1","8","1","9","1","1","1","1","3","1","2","2","1","2","2","1","1","1","1","1","1","2","2","6","2","1","3","1","2"
"1505","2","1","2","5","5","1","3","2","3","1","4","2","5","1","1","1","1","2","1","2","2","1","3","1","1","8","3","1","2","1","1","5","2","1","3","1","8","1","9","1","3","1","1","1","1","2","2","3","2","1","1","1","1","1","1","1","1","2","6","2","1","3","3","2"
"1573","2","1","1","1","1","1","2","2","2","1","1","2","1","1","1","1","1","1","1","1","2","1","3","1","1","8","3","1","2","1","1","1","2","1","2","1","2","1","9","1","1","1","1","3","3","2","2","1","2","3","1","1","2","1","1","1","1","1","6","2","1","3","2","2"
"1611","2","1","2","5","5","3","3","1","2","1","4","2","1","5","1","4","1","2","1","2","2","1","3","1","1","8","3","1","2","1","1","6","2","1","3","1","8","1","9","2","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","1","2","6","2","1","3","3","2"
"1646","2","1","2","4","5","1","3","1","2","1","4","2","1","6","1","1","3","2","1","2","1","1","3","1","1","8","6","6","2","1","1","4","2","1","3","1","8","2","9","4","1","1","1","2","1","2","2","3","2","1","1","1","1","1","1","3","7","2","9","2","1","3","3","2"
"1734","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","8","3","1","2","1","1","2","2","1","3","1","3","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"1735","2","1","2","5","5","2","4","1","2","1","4","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","1","2","1","1","2","2","1","3","1","2","2","1","1","1","1","1","2","5","2","2","1","2","3","1","1","1","1","1","1","1","2","1","2","1","3","3","1"
"1738","2","1","2","5","5","1","3","2","5","1","4","2","1","1","1","1","1","2","1","2","2","1","3","1","1","8","3","4","2","1","1","1","2","1","3","1","8","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","4","2","2","6","2","1","3","3","2"
"1739","1","1","1","1","1","1","3","1","1","1","1","2","1","5","1","1","1","1","1","1","2","1","3","3","1","2","3","1","1","1","2","1","1","1","3","1","8","1","9","2","1","1","1","3","1","1","1","1","2","1","1","1","2","1","1","1","1","1","3","2","1","3","1","1"
"1827","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","3","1","8","3","1","2","1","1","1","2","1","1","1","8","3","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"1836","2","1","2","3","5","1","3","1","2","1","4","2","1","2","1","1","1","2","1","2","1","2","1","1","1","5","3","1","2","1","1","1","2","1","3","1","8","1","9","1","1","1","1","1","NA","2","2","NA","NA","1","1","1","1","1","1","1","1","2","6","2","1","3","1","2"
"1837","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","5","1","2","1","2","2","1","3","1","2","8","3","1","2","1","1","1","1","1","3","1","8","1","1","1","1","1","1","3","4","1","2","3","2","1","1","1","2","1","1","1","3","1","6","2","1","1","3","2"
"1854","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","3","1","8","3","1","2","1","1","1","2","1","3","1","2","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","3","2"
"1874","2","1","2","5","5","1","3","1","5","1","4","2","2","1","1","1","1","2","1","2","1","1","1","1","1","8","3","3","2","1","1","1","2","1","3","1","8","2","1","1","1","1","6","1","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","1","2"
"1881","1","1","1","1","1","1","3","1","1","1","1","2","1","2","1","5","1","1","1","1","2","1","3","1","1","8","3","1","2","1","2","1","1","1","3","1","8","1","6","1","1","1","4","3","1","1","2","1","2","1","1","1","3","1","1","1","2","1","3","2","1","2","3","1"
"1891","2","1","2","5","5","1","3","1","2","1","4","2","1","5","1","1","1","2","1","2","2","1","3","1","1","2","3","1","2","1","1","1","2","1","1","1","8","1","9","2","NA","1","1","3","1","2","2","1","2","1","1","1","1","1","1","4","2","2","6","2","1","3","3","2"
"2125","2","1","2","5","5","1","7","1","2","1","4","2","1","1","1","1","1","2","1","2","2","2","3","1","1","8","3","1","2","1","1","1","2","1","3","1","2","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","2","2"
"2147","2","1","2","5","5","1","3","1","3","1","4","2","2","1","1","1","1","2","1","2","2","1","3","1","1","8","3","1","2","4","1","4","2","1","3","1","7","1","9","1","1","1","1","3","1","2","2","3","2","1","1","1","1","1","1","1","7","2","8","2","1","3","1","2"
"2344","2","1","2","5","5","1","3","1","2","1","4","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","9","1","1","1","1","3","1","2","2","3","2","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","2","1","3","3","2"
"2400","2","1","2","5","5","2","1","1","2","1","4","2","1","1","1","1","1","2","1","2","3","1","3","1","1","8","3","1","2","1","2","1","2","1","3","1","4","1","9","3","1","1","1","3","1","4","2","3","2","1","1","1","1","1","1","1","1","2","6","2","1","3","3","2"
"2412","2","1","2","5","5","1","3","1","2","1","4","2","1","1","1","1","1","2","1","2","2","1","3","3","1","8","3","1","2","1","1","1","2","1","3","3","8","1","9","1","1","3","1","3","1","2","2","3","2","1","1","1","1","1","1","1","2","2","6","2","1","3","1","2"
"2464","1","3","1","1","1","1","3","1","2","1","1","2","1","4","1","5","2","2","3","2","1","1","1","2","3","8","3","4","2","1","1","4","2","3","3","3","5","2","3","3","2","1","2","2","4","2","1","1","2","1","1","1","1","1","1","4","6","1","10","2","1","3","1","1"
