,"1.1","1.13","1.29","2.16","3.7","3.12","3.22","3.25","3.28","4.1","4.11","4.15","4.19","5.1","5.2","6.8","6.11","6.12","8.2","8.23","8.24.1","8.24.2","8.26","8.28","8.38","9.23","10.1","10.17","11.25","13.1","14.5","15.29","15.31"
"2125","2","1","15","3","1","2","2","1","1","7","3","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","7","1","3","2"
"2147","2","1","17","3","1","2","2","2","1","7","3","2","4","1","5","1","2","5","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"2344","2","1","NA","NA","1","2","2","1","1","7","3","2","2","NA","NA","1","2","5","NA","1","NA","NA","NA","NA","6","2","3","3","3","1","1","3","2"
"2400","2","1","15","3","1","2","2","1","1","7","3","2","2","1","5","1","2","7","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"2412","NA","NA","15","3","1","2","2","1","1","7","3","2","2","1","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"2464","2","1","15","3","1","2","2","1","1","11","2","2","2","2","5","1","2","8","4","1","6","6","2","1","8","2","4","3","3","1","1","NA","2"
"2495","2","1","14","3","1","2","2","2","1","7","3","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","3","3","3","1","1","4","2"
"2815","2","1","12","3","1","2","2","1","1","7","1","2","2","2","5","1","2","8","5","1","6","1","2","1","6","2","4","3","3","1","1","3","2"
"arm","NA","1","15","3","NA","2","1","NA","NA","2","3","1","2","1","5","1","2","1","5","1","NA","1","1","1","1","1","3","1","1","1","1","NA","2"
"cop-sa","2","1","4","3","1","2","1","NA","2","2","3","1","1","2","1","1","1","1","5","1","6","2","2","6","1","1","1","1","2","1","1","1","2"
"cop-bo","2","1","4","3","2","2","1","NA","2","2","1","1","2","1","5","1","2","1","3","1","1","2","2","1","1","1","1","1","2","1","2","1","2"
"eth","2","NA","4","3","1","2","NA","4","NA","7","3","1","1","1","5","1","2","1","3","1","6","NA","2","6","1","2","4","NA","NA","7","NA","NA","NA"
"slav","2","1","15","3","1","2","2","NA","NA","6","3","2","2","2","5","1","2","1","5","1","NA","1","2","1","1","2","4","1","3","1","1","3","2"
"it-ar","1","1","15","4","1","2","2","4","2","6","1","2","1","2","5","2","1","1","1","1","2","1","2","1","1","1","3","1","2","7","2","1","1"
"it-mon","1","1","15","4","1","2","2","NA","1","6","3","2","2","1","5","1","1","1","5","1","1","1","2","1","9","2","1","NA","NA","NA","NA","1","1"
"it-d","2","4","2","4","1","2","2","4","2","6","3","2","1","1","1","1","1","2","5","2","2","1","1","1","1","2","1","1","2","NA","2","1","1"
"it-g","2","4","2","NA","1","2","2","NA","2","6","3","2","1","1","1","1","1","2","1","2","2","1","1","1","1","2","1","2","2","7","2","1","2"
"it-o","2","4","15","4","1","2","2","4","2","6","1","2","2","1","5","2","1","2","1","2","2","1","2","1","1","2","3","2","2","1","2","1","1"
"it-b","2","4","15","4","1","2","2","4","2","6","1","2","1","1","5","1","1","2","1","1","6","1","1","1","9","1","3","1","3","7","2","1","1"
"it-f","NA","NA","NA","NA","NA","NA","2","NA","2","6","3","2","1","1","1","1","1","2","1","2","2","1","2","1","1","2","1","2","2","7","2","1","2"
"syr-p","2","1","15","3","1","NA","2","NA","1","2","3","2","1","NA","5","2","2","1","1","1","2","2","NA","1","6","2","NA","3","1","1","1","3","2"
"syr-h","2","1","15","3","1","2","2","NA","1","NA","3","2","2","NA","5","1","1","3","5","1","6","1","2","1","4","2","NA","3","1","1","1","3","2"
"syr-pal","2","NA","NA","3","NA","NA","2","NA","2","2","3","NA","1","NA","5","1","2","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA"
"vg-ww","1","1","NA","NA","1","2","NA","NA","2","6","3","2","1","1","5","1","1","1","5","1","2","1","2","1","1","1","3","NA","2","1","2","1","1"
"vg-st","1","1","NA","NA","1","2","NA","NA","2","6","3","2","1","1","5","1","1","1","5","1","2","1","2","1","1","1","3","NA","2","1","2","1","1"
"vg-cl","2","1","NA","NA","1","2","2","NA","2","6","3","2","1","1","5","1","2","1","5","1","2","1","2","1","NA","1","3","NA","2","1","2","3","1"
"geo-1","2","1","1","1","NA","2","2","NA","NA","6","1","1","1","2","5","1","1","3","1","1","6","1","2","1","NA","2","3","1","NA","1","1","1","2"
"geo-2","2","1","15","3","NA","2","2","NA","NA","6","1","1","2","2","5","1","2","3","5","1","6","1","2","1","9","2","4","1","NA","1","1","3","2"
