,"1.1","1.4","1.8","1.9","1.14","1.23.1","1.23.2"," 1.24"," 1.29","2.1","2.8.1","2.8.2","2.13","2.14.1","2.14.2","2.16","2.17","3.2.1","3.2.2","3.3","3.5","3.8","3.10","3.22","3.25","3.28","3.30","4.2","5.13","6.8.1","6.8.2","6.11","6.12","8.14","8.21","8.23","8.24.1","8.24.2","8.26","8.28","8.38","9.1","9.19","9.23","10.1","10.8","13.1.1","13.1.2","13.7","14.9","14.10","15.19","15.24"
"1573","2","1","1","2","1","1","1","1","15","2","1","1","2","1","1","3","3","1","1","1","1","1","1","2","2","4","1","1","2","1","1","2","1","2","1","1","6","1","2","1","6","1","2","2","1","1","1","1","2","1","1","1","2"
"1611","2","1","1","2","1","1","1","2","15","1","1","2","2","1","5","3","3","4","1","1","1","1","1","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1646","2","1","1","7","1","2","1","2","16","1","1","2","2","1","2","3","3","4","1","5","1","1","1","2","1","4","4","2","2","1","1","2","8","4","1","1","4","3","2","2","6","1","4","2","4","1","2","2","2","1","1","1","2"
"1734","2","1","1","2","1","1","1","2","15","2","1","2","2","1","5","3","2","1","1","1","1","1","2","2","1","4","3","2","2","1","1","2","8","4","1","1","4","1","2","1","6","1","4","2","4","1","2","1","2","2","1","1","2"
"1735","2","1","1","2","1","1","1","2","15","2","1","2","2","1","4","3","3","4","1","1","1","1","1","2","1","4","4","2","2","1","3","2","8","4","1","3","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1738","2","3","1","2","1","1","1","2","15","1","1","2","2","1","4","3","3","4","1","1","1","1","2","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","1","2","2","1","4","2"
"1739","2","1","1","2","1","1","1","1","2","1","2","1","1","1","1","3","1","2","1","3","1","3","1","2","2","1","1","2","2","1","1","1","1","2","1","1","3","1","2","1","6","1","2","2","1","2","1","1","1","1","2","1","1"
"1827","2","1","1","2","1","3","1","2","15","1","1","2","2","1","4","3","3","1","1","1","1","1","1","2","2","4","3","2","2","1","1","2","3","4","1","1","6","1","2","1","6","1","4","2","5","1","2","1","2","1","1","1","2"
"1836","2","1","1","2","1","1","1","2","NA","1","1","2","2","1","2","2","3","4","1","1","1","1","1","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1837","2","1","1","4","1","1","1","2","15","1","1","1","2","1","1","3","3","4","1","1","1","1","1","2","1","1","3","2","2","1","2","2","1","4","1","1","6","1","3","1","6","1","4","1","4","1","2","2","2","1","1","1","2"
"1854","2","1","1","2","1","1","1","2","15","1","1","2","2","1","5","3","3","4","1","1","1","1","1","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1874","2","3","1","2","1","1","1","2","15","1","1","2","1","1","2","3","3","4","1","1","1","1","1","2","1","4","3","2","2","1","1","2","8","4","1","1","2","1","2","4","6","1","4","2","4","1","2","2","2","2","1","1","2"
"1881","2","1","2","2","1","2","1","1","1","1","2","1","2","1","2","3","3","3","1","3","1","3","1","1","2","4","3","2","2","1","1","2","1","4","1","1","6","1","2","1","6","1","4","2","1","2","1","1","1","2","2","1","1"
"1891","2","3","2","2","1","1","1","2","10","1","1","2","2","1","4","3","2","4","1","1","1","1","2","2","1","4","3","2","2","1","1","2","8","6","1","1","6","1","2","1","6","1","4","2","4","1","2","2","2","2","1","1","2"
"2125","2","1","2","2","1","1","1","2","15","2","1","2","2","1","5","3","3","4","1","1","1","1","2","2","1","4","3","2","2","1","1","2","8","4","4","1","6","1","2","1","6","1","4","2","4","1","2","1","2","2","1","1","2"
"2147","2","1","1","2","1","3","1","2","17","1","1","2","2","1","4","3","3","4","1","1","1","1","1","2","2","4","3","2","2","1","1","2","5","4","1","1","6","1","2","1","6","1","4","2","4","1","2","1","2","1","1","1","2"
"2344","2","1","NA","2","1","1","1","1","NA","1","1","2","2","1","4","3","NA","1","1","1","1","1","1","2","1","4","3","2","2","1","1","2","5","4","NA","1","NA","NA","NA","NA","6","1","4","2","3","1","2","2","2","2","1","NA","2"
"2400","2","1","1","2","1","1","1","2","15","1","1","2","2","1","5","3","3","4","1","1","1","1","2","2","1","4","3","2","2","1","1","2","7","4","1","1","6","1","2","1","6","1","4","2","4","1","1","2","1","1","1","3","2"
"2412","NA","NA","NA","NA","NA","1","1","2","15","1","1","2","2","1","4","3","3","4","1","1","1","1","1","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","2","NA","NA","NA","NA","NA"
"2464","2","1","1","2","1","2","1","2","15","1","1","2","2","1","4","3","3","1","1","1","1","5","1","2","1","4","3","2","2","1","1","2","8","5","1","1","6","6","2","1","8","1","4","2","4","1","NA","NA","NA","NA","NA","NA","NA"
"2495","2","1","1","2","1","1","1","2","14","1","1","2","2","1","4","3","3","4","1","1","1","6","1","2","2","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","2","2","3","1","2","2","2","2","1","1","2"
"2815","2","1","1","2","1","1","1","2","12","1","1","2","2","1","5","3","3","4","1","5","1","1","2","2","1","4","3","2","2","1","1","2","8","4","1","1","6","1","2","1","6","1","4","2","4","1","2","1","2","2","1","1","2"
"1CorCom","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA"
"BasilPhilA","2","NA","NA","NA","2","1","1","NA","NA","NA","2","1","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","1","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"BasilPhilB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Cels","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","1","1","NA","NA","NA","2","NA"
"Euches","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","NA","NA","1","NA","2","NA","NA"
"ExCom","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"EzeFrag","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"GenSel","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JerHomB","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"JohnComA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","1","NA","1","NA"
"JohnComB","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA"
"MattComC","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Princ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ProvExp","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PsFrag","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"PsSel","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","5","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA"
"RomFragA","2","NA","NA","1","NA","NA","NA","NA","NA","NA","1","2","2","1","5","3","NA","NA","NA","1","NA","NA","2","2","NA","4","3","2","3","1","1","2","8","NA","NA","NA","6","1","2","1","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RomFragB","2","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RomFragC","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA","2","NA","1","NA","2","1","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","2","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RomFragD","2","1","1","1","1","1","1","1","15","1","2","1","1","1","1","3","1","2","1","3","1","3","1","1","2","1","1","1","2","1","1","1","1","2","NA","1","3","1","NA","1","1","NA","NA","NA","1","2","NA","NA","NA","NA","2","1","1"
